transport_type,daily_distance_km,travel_days_per_week,electricity_kwh_month,diet_type,food_waste_frequency,waste_kg_week,recycling_frequency,flights_per_year,total_carbon_tonnes
Bus,21.4,7,249.0,Vegetarian,Sometimes,19.3,Sometimes,1-2,3.4284
Walking,7.3,3,292.0,Non-Vegetarian,Often,18.2,Never,1-2,4.3531
Electric Vehicle,7.8,4,198.0,Non-Vegetarian,Rarely,16.8,Sometimes,1-2,3.5942
Electric Vehicle,18.0,5,484.0,Non-Vegetarian,Sometimes,2.4,Sometimes,0,5.3294
Car,22.6,6,165.0,Vegetarian,Sometimes,5.2,Often,6+,5.2521
Car,24.2,4,290.0,Mixed,Sometimes,1.2,Often,0,3.8863
Electric Vehicle,6.1,6,477.0,Vegetarian,Often,9.8,Often,3-5,5.0056
Car,64.3,3,179.0,Non-Vegetarian,Rarely,13.8,Often,1-2,4.5739
Car,72.6,3,538.0,Non-Vegetarian,Sometimes,7.9,Sometimes,1-2,7.3942
Car,5.8,6,418.0,Mixed,Often,8.5,Often,0,4.5217
Car,20.8,5,114.0,Non-Vegetarian,Rarely,1.5,Sometimes,0,3.4955
Walking,7.0,7,239.0,Mixed,Sometimes,8.7,Often,0,2.9658
Car,33.1,7,305.0,Non-Vegetarian,Sometimes,6.6,Sometimes,1-2,6.35
Train,19.7,6,233.0,Mixed,Sometimes,15.9,Sometimes,0,3.0457
Walking,1.9,2,255.0,Non-Vegetarian,Sometimes,4.0,Often,1-2,3.2988
Motorcycle,59.4,7,437.0,Mixed,Sometimes,14.0,Sometimes,3-5,7.0517
Bus,4.3,3,209.0,Vegan,Sometimes,5.2,Sometimes,1-2,2.1776
Bicycle,1.4,6,534.0,Mixed,Sometimes,17.5,Never,3-5,5.6797
Train,35.5,7,406.0,Non-Vegetarian,Sometimes,18.9,Often,0,4.9558
Bicycle,3.0,5,384.0,Non-Vegetarian,Often,10.0,Sometimes,0,5.089
Electric Vehicle,61.7,6,122.0,Non-Vegetarian,Sometimes,5.0,Sometimes,1-2,3.64
Bicycle,5.4,4,110.0,Mixed,Sometimes,5.5,Sometimes,1-2,2.2715
Motorcycle,41.5,5,492.0,Non-Vegetarian,Sometimes,15.1,Often,0,6.1195
Car,11.0,6,309.0,Non-Vegetarian,Sometimes,19.7,Often,0,4.2198
Train,15.4,3,557.0,Non-Vegetarian,Sometimes,14.1,Often,0,5.4238
Motorcycle,49.1,6,364.0,Mixed,Sometimes,8.4,Sometimes,3-5,5.8538
Bus,34.1,7,595.0,Non-Vegetarian,Often,10.9,Sometimes,1-2,6.9661
Electric Vehicle,14.2,4,228.0,Vegan,Sometimes,12.8,Often,1-2,2.4527
Walking,2.5,4,152.0,Vegetarian,Rarely,6.7,Sometimes,0,1.7767
Train,12.3,4,352.0,Non-Vegetarian,Rarely,7.0,Never,1-2,4.0305
Train,37.5,6,489.0,Non-Vegetarian,Sometimes,19.7,Often,0,5.0299
Train,28.5,3,358.0,Non-Vegetarian,Sometimes,10.1,Never,3-5,5.1836
Motorcycle,13.0,7,410.0,Non-Vegetarian,Often,12.4,Never,0,5.5154
Train,39.9,6,430.0,Non-Vegetarian,Sometimes,8.5,Sometimes,3-5,5.443
Bus,20.8,7,272.0,Non-Vegetarian,Sometimes,15.0,Often,1-2,4.2973
Car,47.1,4,485.0,Vegetarian,Rarely,4.8,Often,1-2,5.8872
Car,66.4,7,282.0,Vegan,Sometimes,8.5,Often,0,6.8725
Car,34.6,5,580.0,Mixed,Often,19.4,Often,0,6.8526
Car,54.0,6,144.0,Mixed,Sometimes,17.1,Often,3-5,5.8242
Electric Vehicle,17.3,3,554.0,Mixed,Sometimes,16.6,Sometimes,3-5,5.2726
Car,26.7,5,270.0,Non-Vegetarian,Sometimes,1.7,Often,1-2,4.9556
Walking,2.9,4,58.0,Non-Vegetarian,Often,18.6,Often,0,2.5534
Bicycle,5.7,3,304.0,Non-Vegetarian,Often,2.8,Often,1-2,4.1877
Electric Vehicle,60.7,4,492.0,Non-Vegetarian,Often,9.3,Often,0,5.2162
Car,12.0,5,191.0,Non-Vegetarian,Sometimes,8.2,Sometimes,3-5,4.2322
Bus,33.8,5,79.0,Non-Vegetarian,Rarely,5.1,Sometimes,0,2.8529
Train,35.5,6,538.0,Non-Vegetarian,Sometimes,8.0,Never,0,5.6198
Electric Vehicle,32.2,6,461.0,Vegetarian,Sometimes,2.2,Often,1-2,4.3377
Bicycle,3.6,7,145.0,Non-Vegetarian,Sometimes,2.4,Often,3-5,3.2061
Electric Vehicle,72.4,3,541.0,Non-Vegetarian,Often,19.7,Sometimes,3-5,6.8392
Car,18.5,6,119.0,Mixed,Sometimes,9.0,Often,0,3.137
Electric Vehicle,23.6,7,206.0,Mixed,Often,17.1,Sometimes,3-5,4.0332
Walking,4.0,4,390.0,Non-Vegetarian,Sometimes,1.4,Often,1-2,4.4972
Car,30.9,5,473.0,Non-Vegetarian,Sometimes,3.5,Sometimes,0,5.9196
Train,18.9,3,393.0,Mixed,Sometimes,12.2,Sometimes,1-2,3.9589
Car,28.7,5,258.0,Non-Vegetarian,Often,15.9,Sometimes,3-5,6.4715
Car,6.2,5,190.0,Vegan,Sometimes,4.1,Often,3-5,2.898
Electric Vehicle,76.7,7,323.0,Vegan,Often,14.0,Sometimes,3-5,5.212
Car,25.4,4,570.0,Mixed,Rarely,8.4,Never,0,5.3596
Bicycle,7.5,7,596.0,Mixed,Often,6.7,Sometimes,0,5.3889
Car,74.3,7,430.0,Mixed,Often,12.3,Often,3-5,10.1462
Bicycle,1.1,6,328.0,Non-Vegetarian,Sometimes,9.4,Often,3-5,4.4942
Bus,34.6,7,237.0,Vegetarian,Often,10.7,Often,1-2,4.4369
Bus,23.8,5,397.0,Non-Vegetarian,Often,10.9,Sometimes,3-5,5.9095
Bicycle,0.6,5,465.0,Non-Vegetarian,Sometimes,13.7,Often,0,4.0567
Electric Vehicle,38.6,7,494.0,Non-Vegetarian,Sometimes,9.6,Sometimes,3-5,6.3303
Bus,4.2,4,69.0,Non-Vegetarian,Often,18.2,Never,1-2,3.5219
Electric Vehicle,78.6,4,370.0,Non-Vegetarian,Often,18.5,Sometimes,6+,6.8756
Car,17.6,4,214.0,Mixed,Often,15.8,Never,1-2,3.9651
Car,45.6,7,462.0,Vegan,Rarely,2.1,Never,0,6.0997
Electric Vehicle,50.8,3,454.0,Non-Vegetarian,Sometimes,18.6,Often,0,4.498
Motorcycle,36.5,6,86.0,Vegan,Sometimes,5.2,Never,0,2.24
Motorcycle,79.1,3,349.0,Vegetarian,Sometimes,18.0,Often,0,4.8864
Car,69.9,4,148.0,Non-Vegetarian,Often,18.8,Never,6+,8.1855
Car,65.6,6,532.0,Mixed,Sometimes,19.0,Sometimes,0,8.4733
Train,6.6,6,127.0,Vegetarian,Often,8.3,Often,6+,4.2269
Bus,4.4,3,485.0,Vegetarian,Sometimes,13.2,Sometimes,1-2,3.9501
Car,14.2,3,72.0,Non-Vegetarian,Often,1.5,Often,1-2,3.1021
Walking,6.7,7,76.0,Vegetarian,Rarely,2.2,Sometimes,0,1.1594
Motorcycle,29.8,5,300.0,Non-Vegetarian,Sometimes,17.8,Often,0,4.6165
Train,35.2,5,398.0,Mixed,Often,15.6,Often,6+,6.3842
Train,25.9,7,371.0,Non-Vegetarian,Sometimes,18.9,Sometimes,1-2,4.721
Electric Vehicle,28.6,4,474.0,Non-Vegetarian,Sometimes,16.9,Never,3-5,6.3079
Bus,4.0,6,517.0,Vegan,Rarely,19.1,Sometimes,0,4.0229
Bus,10.5,7,289.0,Non-Vegetarian,Sometimes,19.0,Sometimes,0,4.2902
Electric Vehicle,66.5,4,79.0,Mixed,Sometimes,4.1,Sometimes,6+,4.6883
Electric Vehicle,76.7,4,526.0,Non-Vegetarian,Often,15.9,Often,0,6.6255
Train,26.6,7,539.0,Non-Vegetarian,Sometimes,14.2,Never,3-5,5.9863
Bus,14.2,4,83.0,Mixed,Sometimes,15.8,Often,0,2.3645
Bicycle,4.4,2,361.0,Mixed,Often,17.2,Often,6+,6.0275
Electric Vehicle,78.1,5,121.0,Non-Vegetarian,Often,10.2,Often,1-2,4.3947
Car,34.6,6,339.0,Non-Vegetarian,Sometimes,15.0,Sometimes,0,6.1426
Electric Vehicle,31.2,7,512.0,Non-Vegetarian,Sometimes,4.6,Sometimes,6+,7.1341
Bus,17.1,7,509.0,Non-Vegetarian,Sometimes,10.2,Often,1-2,5.7916
Bus,6.3,6,69.0,Mixed,Often,13.4,Often,3-5,3.1864
Bicycle,7.1,4,442.0,Mixed,Sometimes,16.1,Often,0,4.0585
Electric Vehicle,12.3,7,570.0,Mixed,Sometimes,5.2,Sometimes,1-2,4.8399
Car,49.3,3,436.0,Non-Vegetarian,Often,12.6,Often,1-2,6.4445
Train,11.5,7,475.0,Vegetarian,Rarely,15.4,Often,1-2,4.5504
Car,18.9,7,98.0,Mixed,Sometimes,8.6,Often,3-5,3.966
Car,77.8,7,344.0,Non-Vegetarian,Rarely,10.9,Sometimes,0,9.2647
Car,37.6,3,431.0,Mixed,Sometimes,12.7,Often,6+,6.8294
Car,41.5,5,546.0,Non-Vegetarian,Sometimes,9.8,Never,3-5,7.5626
Car,35.5,6,216.0,Non-Vegetarian,Sometimes,8.4,Sometimes,0,5.2341
Bus,25.3,4,371.0,Non-Vegetarian,Sometimes,4.2,Often,0,4.3144
Walking,3.3,5,312.0,Non-Vegetarian,Rarely,18.6,Sometimes,0,3.8042
Train,38.2,7,551.0,Non-Vegetarian,Sometimes,6.1,Sometimes,0,4.9347
Car,74.0,6,284.0,Mixed,Often,3.5,Sometimes,1-2,8.2123
Bus,15.2,3,277.0,Vegetarian,Sometimes,2.4,Never,0,2.6637
Car,24.5,6,66.0,Non-Vegetarian,Sometimes,12.9,Sometimes,3-5,4.2784
Car,29.9,7,575.0,Non-Vegetarian,Sometimes,11.2,Sometimes,0,7.0207
Car,37.7,6,345.0,Non-Vegetarian,Sometimes,6.4,Never,6+,8.0046
Walking,7.4,4,120.0,Mixed,Often,11.3,Never,3-5,3.1125
Walking,2.8,5,283.0,Mixed,Sometimes,3.0,Sometimes,0,2.7099
Walking,5.4,2,410.0,Non-Vegetarian,Often,17.4,Sometimes,1-2,5.2313
Electric Vehicle,43.0,4,567.0,Non-Vegetarian,Sometimes,11.6,Often,0,5.3011
Car,39.4,3,125.0,Non-Vegetarian,Sometimes,3.0,Sometimes,1-2,4.0294
Electric Vehicle,5.3,7,103.0,Non-Vegetarian,Sometimes,11.8,Often,0,2.5404
Bus,27.3,3,486.0,Mixed,Often,12.3,Never,1-2,5.5721
Electric Vehicle,50.4,6,229.0,Mixed,Rarely,14.2,Sometimes,1-2,3.8896
Car,66.6,5,355.0,Mixed,Sometimes,18.6,Sometimes,3-5,7.657
Motorcycle,79.1,7,54.0,Non-Vegetarian,Rarely,17.5,Often,3-5,6.2408
Bus,3.3,4,50.0,Non-Vegetarian,Rarely,11.2,Sometimes,0,1.9814
Car,59.3,4,78.0,Mixed,Rarely,9.6,Never,3-5,4.9399
Car,62.3,7,456.0,Mixed,Sometimes,14.4,Sometimes,6+,10.3338
Car,31.1,3,587.0,Mixed,Rarely,1.0,Often,3-5,6.3061
Bus,8.0,4,508.0,Non-Vegetarian,Sometimes,16.6,Never,1-2,5.5089
Electric Vehicle,28.0,4,437.0,Non-Vegetarian,Sometimes,15.7,Often,1-2,5.2548
Train,13.0,5,243.0,Vegetarian,Sometimes,15.7,Often,6+,4.3231
Bus,19.9,4,541.0,Non-Vegetarian,Sometimes,13.4,Often,3-5,6.5685
Car,37.6,7,65.0,Non-Vegetarian,Often,10.3,Sometimes,1-2,5.6552
Car,48.9,3,589.0,Mixed,Often,18.8,Sometimes,1-2,7.2886
Bus,26.2,4,409.0,Vegetarian,Sometimes,18.4,Often,3-5,4.9236
Car,45.6,3,359.0,Non-Vegetarian,Rarely,12.9,Sometimes,0,5.325
Bus,22.8,6,199.0,Non-Vegetarian,Often,12.0,Never,0,4.39
Motorcycle,60.1,3,589.0,Non-Vegetarian,Rarely,1.4,Never,1-2,6.0343
Car,39.3,3,94.0,Mixed,Sometimes,5.0,Often,1-2,3.264
Car,73.1,4,232.0,Mixed,Often,15.4,Often,1-2,6.4997
Car,56.6,5,283.0,Non-Vegetarian,Rarely,3.0,Often,1-2,6.4073
Electric Vehicle,25.5,4,211.0,Non-Vegetarian,Sometimes,15.9,Often,0,3.4744
Electric Vehicle,30.9,7,431.0,Non-Vegetarian,Sometimes,18.2,Sometimes,0,4.7905
Motorcycle,77.1,6,544.0,Mixed,Sometimes,10.2,Sometimes,0,7.5495
Electric Vehicle,9.1,7,167.0,Non-Vegetarian,Sometimes,12.5,Often,0,3.001
Bicycle,6.7,3,197.0,Non-Vegetarian,Sometimes,13.8,Sometimes,3-5,3.7778
Electric Vehicle,15.1,4,136.0,Vegan,Often,11.7,Often,1-2,2.103
Bus,23.5,4,562.0,Mixed,Sometimes,19.2,Sometimes,0,5.8043
Car,43.2,7,228.0,Non-Vegetarian,Sometimes,1.5,Often,3-5,6.6914
Bus,9.2,6,220.0,Mixed,Sometimes,5.3,Never,0,3.3571
Motorcycle,35.4,5,237.0,Non-Vegetarian,Sometimes,12.8,Sometimes,1-2,4.1778
Car,39.1,5,500.0,Non-Vegetarian,Sometimes,1.7,Often,0,5.8549
Walking,4.1,5,382.0,Non-Vegetarian,Rarely,2.2,Never,0,3.9337
Bus,35.4,7,242.0,Non-Vegetarian,Rarely,11.9,Often,1-2,4.7581
Car,74.8,4,209.0,Non-Vegetarian,Sometimes,17.1,Often,3-5,6.8831
Car,57.0,6,433.0,Non-Vegetarian,Often,4.7,Never,0,8.066
Train,3.1,7,336.0,Non-Vegetarian,Sometimes,19.9,Sometimes,1-2,4.3225
Electric Vehicle,20.4,5,477.0,Non-Vegetarian,Often,11.1,Sometimes,1-2,5.1985
Car,52.4,3,435.0,Non-Vegetarian,Sometimes,9.7,Sometimes,3-5,6.5761
Car,11.1,7,278.0,Non-Vegetarian,Sometimes,18.2,Sometimes,1-2,4.6537
Car,64.1,5,157.0,Vegetarian,Often,1.4,Sometimes,3-5,5.9024
Train,32.6,5,560.0,Non-Vegetarian,Sometimes,19.4,Sometimes,1-2,5.9691
Motorcycle,70.3,3,402.0,Non-Vegetarian,Rarely,1.7,Sometimes,1-2,5.4605
Bicycle,2.3,6,555.0,Vegetarian,Sometimes,15.5,Often,0,4.625
Bicycle,2.0,4,431.0,Vegetarian,Sometimes,6.5,Sometimes,1-2,4.0093
Electric Vehicle,65.8,6,198.0,Non-Vegetarian,Rarely,15.9,Sometimes,1-2,4.124
Motorcycle,15.0,3,135.0,Vegetarian,Sometimes,18.2,Never,1-2,2.9609
Car,52.3,6,263.0,Mixed,Sometimes,4.9,Often,0,6.3411
Train,38.8,6,584.0,Non-Vegetarian,Sometimes,8.6,Never,1-2,6.1565
Train,21.3,4,232.0,Vegetarian,Sometimes,17.6,Sometimes,1-2,3.213
Bicycle,7.6,2,311.0,Non-Vegetarian,Sometimes,18.5,Sometimes,0,3.8236
Bus,9.3,3,398.0,Mixed,Often,19.8,Sometimes,1-2,4.2678
Car,17.6,3,540.0,Mixed,Often,16.3,Often,0,5.2879
Car,21.9,3,52.0,Non-Vegetarian,Sometimes,12.5,Sometimes,3-5,3.6869
Car,25.1,7,320.0,Mixed,Sometimes,16.1,Often,1-2,5.3869
Motorcycle,23.0,5,375.0,Vegetarian,Often,11.6,Often,1-2,4.4951
Walking,2.7,5,369.0,Vegan,Often,14.6,Sometimes,6+,5.332
Electric Vehicle,5.2,7,585.0,Mixed,Sometimes,8.4,Sometimes,0,4.481
Car,39.2,5,64.0,Non-Vegetarian,Sometimes,7.3,Often,0,4.1658
Walking,5.3,7,71.0,Non-Vegetarian,Sometimes,8.5,Sometimes,3-5,2.8421
Bicycle,5.8,3,161.0,Non-Vegetarian,Rarely,5.6,Never,0,2.6495
Car,37.2,7,308.0,Mixed,Sometimes,5.7,Often,0,5.7824
Car,55.4,3,515.0,Mixed,Rarely,1.9,Often,1-2,6.4701
Car,46.5,3,198.0,Mixed,Rarely,6.5,Sometimes,0,4.0399
Car,49.6,4,208.0,Vegan,Sometimes,3.5,Often,0,3.8944
Bus,25.3,7,413.0,Vegetarian,Sometimes,7.3,Often,3-5,5.0672
Bus,29.4,4,235.0,Mixed,Sometimes,19.5,Never,6+,5.9226
Car,60.2,7,201.0,Mixed,Often,6.4,Often,1-2,7.2425
Electric Vehicle,69.5,6,302.0,Mixed,Sometimes,2.3,Sometimes,1-2,4.7152
Train,17.5,4,257.0,Vegetarian,Often,18.3,Often,0,2.9105
Bus,29.8,6,88.0,Mixed,Often,4.8,Never,0,2.998
Bus,20.4,6,526.0,Vegetarian,Sometimes,4.5,Sometimes,6+,7.0052
Car,26.0,4,377.0,Vegetarian,Often,19.0,Often,0,4.497
Bus,37.3,4,447.0,Non-Vegetarian,Sometimes,1.5,Never,1-2,5.1815
Walking,7.0,4,556.0,Mixed,Rarely,14.7,Never,0,4.9035
Electric Vehicle,18.9,4,188.0,Non-Vegetarian,Sometimes,1.5,Often,1-2,3.3128
Car,58.0,5,69.0,Non-Vegetarian,Rarely,19.3,Often,0,5.266
Motorcycle,19.8,5,354.0,Mixed,Often,17.4,Sometimes,1-2,4.6947
Bus,37.9,5,483.0,Vegetarian,Often,18.6,Never,0,5.6411
Car,47.1,5,364.0,Vegetarian,Sometimes,4.5,Often,1-2,5.7155
Car,60.6,4,58.0,Non-Vegetarian,Sometimes,17.6,Never,1-2,5.2766
Car,56.1,5,307.0,Non-Vegetarian,Sometimes,15.1,Never,1-2,6.5174
Bicycle,7.7,5,528.0,Vegan,Sometimes,8.2,Never,3-5,4.0511
Electric Vehicle,5.1,4,233.0,Vegetarian,Sometimes,16.3,Often,3-5,3.3461
Electric Vehicle,12.7,3,460.0,Vegetarian,Often,8.0,Often,0,3.8862
Motorcycle,35.6,6,543.0,Non-Vegetarian,Often,18.7,Often,6+,8.7906
Bicycle,4.8,4,316.0,Non-Vegetarian,Sometimes,6.1,Often,3-5,4.2652
Bicycle,0.7,4,199.0,Mixed,Sometimes,19.6,Often,0,2.7688
Car,70.1,4,313.0,Non-Vegetarian,Often,14.5,Never,0,6.7553
Electric Vehicle,35.8,4,408.0,Vegan,Often,15.0,Sometimes,6+,5.5694
Car,79.1,4,595.0,Vegetarian,Often,8.6,Sometimes,0,7.6655
Bus,26.2,6,210.0,Vegetarian,Sometimes,18.8,Sometimes,1-2,3.4875
Train,4.1,7,94.0,Vegan,Rarely,1.7,Never,6+,3.3619
Car,34.4,5,568.0,Vegetarian,Sometimes,10.2,Often,1-2,6.1661
Car,24.2,3,505.0,Non-Vegetarian,Often,2.2,Never,0,6.1922
Car,47.8,3,206.0,Non-Vegetarian,Rarely,19.2,Sometimes,3-5,5.4786
Car,10.5,6,72.0,Mixed,Sometimes,4.9,Never,0,2.4861
Motorcycle,44.2,6,352.0,Vegan,Sometimes,15.6,Sometimes,3-5,5.041
Train,12.9,5,337.0,Non-Vegetarian,Rarely,8.7,Sometimes,0,3.6552
Bus,28.4,3,239.0,Non-Vegetarian,Sometimes,3.0,Sometimes,0,3.1472
Electric Vehicle,37.6,6,515.0,Non-Vegetarian,Often,12.7,Sometimes,0,6.3003
Electric Vehicle,5.8,5,575.0,Mixed,Rarely,7.0,Sometimes,3-5,5.7412
Car,20.0,3,153.0,Vegan,Rarely,14.9,Sometimes,6+,4.1529
Car,74.5,7,335.0,Mixed,Rarely,12.6,Often,0,9.0623
Walking,2.2,3,274.0,Vegetarian,Rarely,18.7,Often,1-2,2.8693
Electric Vehicle,78.7,5,475.0,Vegan,Sometimes,14.0,Never,3-5,5.6139
Electric Vehicle,38.9,3,597.0,Non-Vegetarian,Sometimes,17.1,Often,1-2,5.3
Bicycle,3.0,6,525.0,Non-Vegetarian,Rarely,7.8,Often,0,4.7842
Car,8.3,6,285.0,Non-Vegetarian,Sometimes,11.1,Often,1-2,4.4617
Electric Vehicle,46.2,3,71.0,Vegetarian,Often,11.7,Often,1-2,2.0966
Bus,33.3,4,61.0,Non-Vegetarian,Sometimes,12.7,Sometimes,0,2.9139
Bus,21.9,4,188.0,Vegetarian,Sometimes,5.2,Sometimes,3-5,3.2804
Electric Vehicle,21.4,3,596.0,Non-Vegetarian,Rarely,11.7,Often,3-5,5.5823
Motorcycle,17.3,3,295.0,Mixed,Rarely,16.4,Sometimes,0,3.6917
Car,53.3,6,82.0,Non-Vegetarian,Often,9.0,Sometimes,3-5,7.2657
Car,25.3,4,394.0,Mixed,Rarely,13.4,Often,1-2,4.7839
Electric Vehicle,21.2,6,61.0,Non-Vegetarian,Sometimes,16.3,Sometimes,1-2,2.8844
Motorcycle,57.7,6,286.0,Mixed,Sometimes,1.4,Often,1-2,5.0391
Car,74.1,7,79.0,Non-Vegetarian,Sometimes,12.8,Sometimes,1-2,7.4375
Car,78.8,5,540.0,Mixed,Sometimes,2.5,Sometimes,0,8.0934
Car,14.5,4,280.0,Non-Vegetarian,Sometimes,14.3,Sometimes,3-5,4.3471
Bus,6.4,3,469.0,Non-Vegetarian,Sometimes,18.1,Often,1-2,4.6257
Motorcycle,44.1,7,58.0,Vegetarian,Often,9.5,Sometimes,3-5,3.9712
Walking,3.8,4,254.0,Mixed,Often,16.0,Sometimes,3-5,3.5517
Car,70.3,3,233.0,Non-Vegetarian,Sometimes,13.6,Never,0,5.2964
Car,46.9,3,549.0,Mixed,Rarely,9.1,Sometimes,1-2,6.5688
Electric Vehicle,71.2,6,573.0,Mixed,Often,7.2,Never,0,6.1645
Electric Vehicle,26.3,7,564.0,Non-Vegetarian,Sometimes,4.2,Sometimes,0,5.9298
Electric Vehicle,6.9,6,347.0,Mixed,Rarely,5.7,Never,3-5,3.7571
Car,12.3,6,55.0,Non-Vegetarian,Rarely,9.8,Sometimes,1-2,3.0163
Walking,3.2,5,269.0,Non-Vegetarian,Sometimes,8.5,Sometimes,3-5,4.2899
Train,30.6,6,445.0,Non-Vegetarian,Sometimes,3.4,Never,1-2,4.9609
Electric Vehicle,38.3,6,108.0,Non-Vegetarian,Often,16.0,Often,0,3.2841
Car,53.7,6,246.0,Non-Vegetarian,Rarely,2.7,Sometimes,0,6.5493
Bus,32.9,5,530.0,Non-Vegetarian,Often,17.1,Often,1-2,6.3314
Train,5.3,3,147.0,Non-Vegetarian,Sometimes,8.8,Often,0,2.7673
Car,59.9,4,418.0,Mixed,Often,8.2,Often,0,6.5544
Car,30.5,6,382.0,Non-Vegetarian,Often,3.0,Often,1-2,6.3117
Car,47.9,3,137.0,Mixed,Rarely,10.3,Often,0,3.6038
Bicycle,5.4,4,88.0,Mixed,Often,3.1,Often,1-2,2.2712
Bicycle,6.7,6,275.0,Vegetarian,Sometimes,18.0,Often,1-2,2.8257
Car,28.3,5,516.0,Non-Vegetarian,Rarely,12.0,Sometimes,0,5.8679
Bicycle,7.4,7,412.0,Mixed,Sometimes,1.3,Sometimes,1-2,3.7301
Electric Vehicle,61.0,6,589.0,Mixed,Sometimes,1.4,Never,0,5.9085
Train,17.5,3,126.0,Mixed,Often,19.8,Never,1-2,3.3837
Car,75.2,3,314.0,Non-Vegetarian,Sometimes,19.8,Often,3-5,6.3258
Bicycle,5.7,6,284.0,Vegan,Sometimes,10.8,Often,3-5,3.2069
Electric Vehicle,65.7,3,149.0,Non-Vegetarian,Sometimes,13.3,Sometimes,0,3.2869
Car,20.7,6,358.0,Vegetarian,Sometimes,15.3,Often,0,4.237
Electric Vehicle,21.7,4,75.0,Vegetarian,Sometimes,13.8,Often,3-5,2.6078
Bus,18.8,6,527.0,Non-Vegetarian,Rarely,7.1,Often,0,5.3377
Train,33.3,3,409.0,Non-Vegetarian,Sometimes,5.1,Sometimes,0,3.9094
Electric Vehicle,40.4,3,597.0,Mixed,Rarely,9.3,Sometimes,1-2,4.9517
Train,21.8,4,578.0,Non-Vegetarian,Sometimes,6.7,Sometimes,1-2,5.7023
Car,38.7,5,460.0,Non-Vegetarian,Rarely,8.3,Sometimes,6+,8.7178
Car,11.4,6,219.0,Mixed,Rarely,16.7,Sometimes,0,3.4637
Train,32.2,5,560.0,Non-Vegetarian,Sometimes,3.4,Sometimes,1-2,5.8052
Bus,15.2,3,124.0,Non-Vegetarian,Often,15.5,Sometimes,0,3.2377
Car,25.4,3,479.0,Non-Vegetarian,Often,8.9,Sometimes,3-5,6.5668
Car,21.7,6,313.0,Non-Vegetarian,Sometimes,15.5,Sometimes,3-5,5.0904
Car,63.4,7,399.0,Non-Vegetarian,Often,11.9,Often,0,8.6945
Train,26.3,4,150.0,Vegan,Sometimes,9.3,Sometimes,3-5,2.6516
Bus,17.7,7,532.0,Non-Vegetarian,Sometimes,19.6,Often,6+,8.0573
Train,17.2,7,140.0,Non-Vegetarian,Sometimes,5.6,Sometimes,6+,4.9549
Car,70.3,6,85.0,Mixed,Often,10.8,Sometimes,6+,8.5197
Car,48.7,6,544.0,Non-Vegetarian,Sometimes,6.1,Often,3-5,8.2473
Car,51.1,5,501.0,Non-Vegetarian,Rarely,14.3,Sometimes,0,7.133
Bicycle,4.7,6,76.0,Mixed,Sometimes,17.9,Often,6+,3.6908
Car,17.4,6,493.0,Vegetarian,Sometimes,11.4,Never,3-5,5.541
Motorcycle,67.9,6,136.0,Mixed,Sometimes,18.7,Often,0,4.6626
Bus,21.3,3,210.0,Non-Vegetarian,Often,18.2,Sometimes,3-5,4.4707
Walking,1.4,3,221.0,Non-Vegetarian,Sometimes,14.8,Sometimes,1-2,3.6068
Bicycle,4.1,5,145.0,Mixed,Sometimes,4.4,Sometimes,6+,4.1375
Bus,27.1,7,283.0,Vegan,Sometimes,2.9,Often,0,3.1469
Car,54.9,5,303.0,Vegetarian,Sometimes,8.0,Never,6+,8.0867
Car,79.8,7,154.0,Mixed,Sometimes,9.4,Sometimes,0,7.9267
Electric Vehicle,40.9,3,580.0,Non-Vegetarian,Sometimes,19.8,Often,6+,6.9358
Car,38.3,7,582.0,Non-Vegetarian,Rarely,9.7,Often,6+,9.3316
Train,33.6,3,165.0,Mixed,Sometimes,17.4,Sometimes,1-2,3.1239
Car,29.2,3,520.0,Mixed,Sometimes,14.2,Often,3-5,6.6706
Car,60.0,3,105.0,Non-Vegetarian,Sometimes,8.7,Sometimes,3-5,5.3148
Train,16.3,7,470.0,Mixed,Sometimes,5.4,Often,1-2,4.6315
Motorcycle,45.0,4,253.0,Vegetarian,Rarely,18.1,Often,0,3.4839
Electric Vehicle,19.5,6,531.0,Non-Vegetarian,Sometimes,16.3,Often,1-2,5.7672
Bus,18.5,5,591.0,Non-Vegetarian,Sometimes,12.0,Often,0,5.1089
Bicycle,6.4,5,469.0,Non-Vegetarian,Sometimes,8.2,Often,0,4.7965
Car,79.4,5,131.0,Non-Vegetarian,Rarely,2.5,Often,0,5.5294
Train,32.3,5,78.0,Non-Vegetarian,Sometimes,18.1,Never,1-2,3.2889
Car,41.0,3,102.0,Mixed,Sometimes,3.9,Sometimes,1-2,3.164
Train,33.9,3,108.0,Mixed,Often,19.1,Often,0,2.4826
Car,27.4,6,93.0,Non-Vegetarian,Often,14.7,Often,1-2,4.7143
Bicycle,6.9,2,525.0,Non-Vegetarian,Often,6.1,Sometimes,0,5.1293
Walking,6.3,2,501.0,Mixed,Sometimes,5.6,Never,0,4.2909
Bicycle,1.3,4,196.0,Non-Vegetarian,Sometimes,13.5,Often,1-2,3.3464
Bicycle,4.1,7,583.0,Non-Vegetarian,Often,19.9,Often,1-2,5.7846
Motorcycle,9.9,6,224.0,Non-Vegetarian,Rarely,18.3,Often,6+,5.3338
Car,52.6,6,64.0,Non-Vegetarian,Rarely,17.7,Never,3-5,6.7797
Car,78.7,4,595.0,Non-Vegetarian,Sometimes,6.5,Often,0,8.3786
